folder,file,sequence,domain,kingdom,phylum,class,order,family
1915078,GCF_001940525.2_ASM194052v2_genomic.fna,NZ_CP019437.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Thioclava
1630135,GCF_001678905.1_ASM167890v1_genomic.fna,NZ_CP012117.1,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Dermabacteraceae,Dermabacter
1646377,GCF_011067265.1_ASM1106726v1_genomic.fna,NZ_CP049603.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Rouxiella
1917485,GCF_001886735.1_ASM188673v1_genomic.fna,NZ_CP018076.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Sulfitobacter
1920883,GCF_001908835.1_ASM190883v1_genomic.fna,NZ_CP018572.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Marivivens group
165096,GCF_000219805.1_ASM21980v1_genomic.fna,NC_015759.1,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Weissella
165179,GCF_020735445.1_ASM2073544v1_genomic.fna,NZ_CP085932.1,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Segatella
1653434,GCF_023008365.1_ASM2300836v1_genomic.fna,NZ_CP094681.1,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Sellimonas
1653476,GCF_001548275.1_ASM154827v1_genomic.fna,NZ_AP014945.1,Bacteria,Thermodesulfobacteriota,Thermodesulfobacteria,Thermodesulfobacteriales,Thermodesulfobacteriaceae,Caldimicrobium
1646,GCF_000018885.1_ASM1888v1_genomic.fna,NC_010168.1,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Renibacterium
1658616,GCF_028728065.1_ASM2872806v1_genomic.fna,NZ_CP117811.1,Bacteria,Lentisphaerota,Lentisphaeria,Lentisphaerales,Lentisphaeraceae,Lentisphaera
1921510,GCF_001890385.1_ASM189038v1_genomic.fna,NZ_CP018221.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Tardibacter
1653480,GCF_900070365.1_Alloactinosynnema_sp._L-07_genomic.fna,NZ_LN850107.1,Bacteria,Actinomycetota,Actinomycetes,Pseudonocardiales,Pseudonocardiaceae,
1658671,GCF_001189535.1_ASM118953v1_genomic.fna,NZ_CP012070.1,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Intrasporangiaceae,Arsenicicoccus
166485,GCF_030166575.1_ASM3016657v1_genomic.fna,NZ_CP126462.1,Bacteria,Bacillota,Clostridia,Peptostreptococcales,Caminicellaceae,Caminicella
166486,GCF_900537995.1_Roseburia_intestinalis_strain_L1-82_genomic.fna,NZ_LR027880.1,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Roseburia
166501,GCF_000025005.1_ASM2500v1_genomic.fna,NC_013525.1,Bacteria,Chloroflexota,Thermobaculum,,,
166935,GCF_000026085.1_ASM2608v1_genomic.fna,NC_007481.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas
1925548,GCF_002688585.1_ASM268858v1_genomic.fna,NZ_CP024034.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Candidatus Pelagibacterales,Candidatus Pelagibacterales incertae sedis,Fonsibacter
1661,GCF_000612055.1_ASM61205v1_genomic.fna,NZ_CP007519.1,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Trueperella
168695,GCF_000016425.1_ASM1642v1_genomic.fna,NC_009380.1,Bacteria,Actinomycetota,Actinomycetes,Micromonosporales,Micromonosporaceae,Salinispora
1943633,GCF_016806125.1_ASM1680612v1_genomic.fna,NZ_CP047166.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Ponticoccus
1675686,GCF_002355415.1_ASM235541v1_genomic.fna,NZ_AP014936.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Acidiferrobacterales,Acidiferrobacteraceae,Sulfurifustis
167642,GCF_000165505.1_ASM16550v1_genomic.fna,NC_014632.1,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Ilyobacter
195105,GCF_004328555.1_ASM432855v1_genomic.fna,NZ_CP035510.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Haematobacter
167964,GCF_000199675.1_ASM19967v1_genomic.fna,NC_014960.1,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,Anaerolinea
1679721,GCF_900070325.1_SD1D_genomic.fna,NZ_LN879430.1,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Herbinix
168169,GCF_000828515.1_ASM82851v1_genomic.fna,NZ_AP010872.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Ishikawaella
195913,GCF_024206795.1_ASM2420679v1_genomic.fna,NZ_CP072994.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Loktanella
168384,GCF_025148285.1_ASM2514828v1_genomic.fna,NZ_CP102268.1,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Marvinbryantia
1969806,GCF_003352165.1_ASM335216v1_genomic.fna,NZ_CP029176.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acidibrevibacterium
1685010,GCF_001648155.1_ASM164815v1_genomic.fna,NZ_CP015199.1,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Weeksellaceae,Chryseobacterium group
1711,GCF_000092865.1_ASM9286v1_genomic.fna,NC_014151.1,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Cellulomonadaceae,Cellulomonas
1969821,GCF_014126615.1_ASM1412661v1_genomic.fna,NZ_CP059896.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Ciceribacter
169435,GCF_023008305.1_ASM2300830v1_genomic.fna,NZ_CP094682.1,Bacteria,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Anaerotruncus
1697053,GCF_001267255.1_ASM126725v1_genomic.fna,NZ_CP012362.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Thiopseudomonas
1702221,GCF_001564455.1_ASM156445v1_genomic.fna,NZ_CP011391.1,Bacteria,Bacillota,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Faecalibaculum
198252,GCF_000012345.1_ASM1234v1_genomic.fna,NC_007205.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Candidatus Pelagibacterales,Candidatus Pelagibacteraceae,Pelagibacter
1704307,GCF_001318295.1_ASM131829v1_genomic.fna,NZ_CP012665.1,Bacteria,Verrucomicrobiota,Spartobacteria,Xiphinematobacter,,
1704499,GCF_002209385.1_ASM220938v1_genomic.fna,NZ_CP022129.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylococcaceae,Methylovulum
1705394,GCF_001293165.1_ASM129316v1_genomic.fna,NZ_CP010552.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Candidatus Thioglobus,,
1748,GCF_001441165.1_ASM144116v1_genomic.fna,NZ_CP013126.1,Bacteria,Actinomycetota,Actinomycetes,Propionibacteriales,Propionibacteriaceae,Acidipropionibacterium
199596,GCF_000021745.1_ASM2174v1_genomic.fna,NC_011666.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Beijerinckiaceae,Methylocella
1712410,GCF_000746025.2_ASM74602v2_genomic.fna,NZ_CP045798.1,Bacteria,Bacillota,Clostridia,Eubacteriales,Peptococcaceae,Thermanaerosceptrum
2017482,GCF_004216475.1_ASM421647v1_genomic.fna,NZ_CP022303.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Thalassococcus
1714860,GCF_003443675.1_ASM344367v1_genomic.fna,NZ_CP031963.1,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Aquimarina
2026624,GCF_013378075.1_ASM1337807v1_genomic.fna,NZ_CP051131.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Parasphingopyxis
171695,GCF_000217795.1_ASM21779v1_genomic.fna,NC_015681.1,Bacteria,Thermodesulfobacteriota,Thermodesulfobacteria,Thermodesulfobacteriales,Thermodesulfatatoraceae,Thermodesulfatator
1717717,GCF_002356295.1_ASM235629v1_genomic.fna,NZ_AP018042.1,Bacteria,Bacteroidota,Bacteroidia,Marinilabiliales,Marinifilaceae,Labilibaculum
172,GCF_000017685.1_ASM1768v1_genomic.fna,NC_010602.1,Bacteria,Spirochaetota,Spirochaetia,Leptospirales,Leptospiraceae,Leptospira
1720083,GCF_004359375.1_ASM435937v1_genomic.fna,NZ_CP034726.1,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Acetilactobacillus
1731,GCF_000597865.1_ASM59786v1_genomic.fna,NZ_CP007452.1,Bacteria,Bacillota,Clostridia,Peptostreptococcales,Peptostreptococcaceae,Peptoclostridium
1734049,GCF_018141405.1_ASM1814140v1_genomic.fna,NZ_CP058648.1,Bacteria,Bacillota,Clostridia,Peptostreptococcales,Natronincolaceae,Serpentinicella
173480,GCF_000010305.1_ASM1030v1_genomic.fna,NC_012489.1,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas
2029849,GCF_017161425.1_ASM1716142v1_genomic.fna,NZ_CP071057.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Maricaulales,Maricaulaceae,Marinicauda
1736674,GCF_001310225.1_ASM131022v1_genomic.fna,NZ_CP012898.1,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Pseudalgibacter
1737490,GCF_002157225.2_ASM215722v2_genomic.fna,NZ_CP020038.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Agarilytica
1740262,GCF_007289895.1_ASM728989v1_genomic.fna,NZ_CP041660.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Catenovulum
2043170,GCF_006385135.1_ASM638513v1_genomic.fna,NZ_CP041025.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Emcibacterales,Emcibacteraceae,Paremcibacter
174633,GCF_011066545.1_ASM1106654v1_genomic.fna,NZ_CP049055.1,Bacteria,Planctomycetota,Candidatus Brocadiia,Candidatus Brocadiales,Candidatus Brocadiaceae,Kuenenia
1758689,GCF_001685415.1_ASM168541v1_genomic.fna,NZ_CP014989.1,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Ornithinimicrobiaceae,Serinicoccus
1750598,GCF_022026155.1_ASM2202615v1_genomic.fna,NZ_CP085041.1,Bacteria,Deltaproteobacteria,Dissulfurimicrobium,,,
1750719,GCF_001534765.1_ASM153476v1_genomic.fna,NZ_CP013217.1,Bacteria,Bacillota,Bacilli,Bacillales,Planococcaceae,Kurthia
204525,GCF_027920465.1_ASM2792046v1_genomic.fna,NZ_CP115851.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Pseudoroseomonas
1752063,GCF_001548455.1_ASM154845v1_genomic.fna,NZ_AP017305.1,Bacteria,Cyanobacteriota,Cyanophyceae,Nostocales,Hapalosiphonaceae,Fischerella
1755811,GCF_002216855.1_ASM221685v1_genomic.fna,NZ_CP022355.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Paraphotobacterium
1773,GCF_000195955.2_ASM19595v2_genomic.fna,NC_000962.3,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium
2070537,GCF_003691365.1_ASM369136v1_genomic.fna,NZ_CP033087.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,
1760988,GCF_019670005.1_ASM1967000v1_genomic.fna,NZ_AP019783.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylococcaceae,Methylomagnum
1761012,GCF_002777255.1_ASM277725v1_genomic.fna,NZ_CP017634.1,Bacteria,Bacillota,Clostridia,Eubacteriales,Peptococcaceae,Candidatus Formimonas
1761453,GCF_003687485.1_ASM368748v1_genomic.fna,NZ_CP032050.1,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Euzebyella
208216,GCF_000152825.2_ASM15282v2_genomic.fna,NC_014414.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Parvularculales,Parvularculaceae,Parvularcula
1763536,GCF_001831495.1_ASM183149v1_genomic.fna,NZ_CP017689.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Thalassotalea
2115978,GCF_003015145.1_ASM301514v1_genomic.fna,NZ_CP027845.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Phycorickettsia
215813,GCF_000018145.1_ASM1814v1_genomic.fna,NC_009952.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Dinoroseobacter
1771309,GCF_003006155.1_ASM300615v1_genomic.fna,NZ_CP023559.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Salinicola
178339,GCF_001746855.1_ASM174685v1_genomic.fna,NZ_CP017298.1,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Pauljensenia
2161677,GCF_015240255.1_ASM1524025v1_genomic.fna,NZ_CP061205.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Kordiimonadales,Kordiimonadaceae,Kordiimonas
1774273,GCF_001761365.1_ASM176136v1_genomic.fna,NZ_CP017477.1,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,
1776384,GCF_022845775.1_ASM2284577v1_genomic.fna,NZ_AP025567.1,Bacteria,Bacillota,Clostridia,Peptostreptococcales,Anaerovoracaceae,Emergencia
177758,GCF_000017865.1_ASM1786v1_genomic.fna,NC_009828.1,Bacteria,Thermotogota,Thermotogae,Thermotogales,Thermotogaceae,Pseudothermotoga
1778262,GCF_900039485.1_DEMHIR_genomic.fna,NZ_LN999833.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Doolittlea
1778263,GCF_900044015.1_HETPER1_genomic.fna,NZ_LN999835.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Hoaglandella
1778264,GCF_900048045.1_MEPMAR_genomic.fna,NZ_LN999831.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Mikella
1795630,GCF_001577365.1_ASM157736v1_genomic.fna,NZ_CP014513.1,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Frondihabitans
1784714,GCF_003258705.1_ASM325870v1_genomic.fna,NZ_CP029480.1,Bacteria,Bacteroidota,Cytophagia,Cytophagales,Spirosomataceae,Arcticibacterium
178899,GCF_003047205.1_ASM304720v1_genomic.fna,NZ_CP028491.1,Bacteria,Bacillota,Clostridia,Eubacteriales,Clostridiales Family XVI. Incertae Sedis,Carboxydocella
1790137,GCF_001697185.1_ASM169718v1_genomic.fna,NZ_CP014224.1,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Wenyingzhuangia
1804990,GCF_012530535.1_ASM1253053v1_genomic.fna,NZ_CP051299.1,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Microcella
2163644,GCF_007993655.1_ASM799365v1_genomic.fna,NZ_CP029077.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Candidatus Deianiraeaceae,Deianiraea
1796616,GCF_001689125.2_ASM168912v2_genomic.fna,NZ_CP015405.2,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Blautia
1796620,GCF_002201475.1_ASM220147v1_genomic.fna,NZ_CP021422.1,Bacteria,Bacillota,Clostridia,Eubacteriales,Acutalibacteraceae,Acutalibacter
1796635,GCF_018406465.1_ASM1840646v1_genomic.fna,NZ_AP024510.1,Bacteria,Bacillota,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Longicatena
1796646,GCF_001688845.2_ASM168884v2_genomic.fna,NZ_CP015402.2,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,Muribaculum
2169400,GCF_003060865.1_ASM306086v1_genomic.fna,NZ_CP028918.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Gemmobacter
1796921,GCF_003096195.1_ASM309619v1_genomic.fna,NZ_CP023004.1,Bacteria,Verrucomicrobiota,Opitutae,Opitutales,Opitutaceae,Ereboglobus
2171755,GCF_003544895.1_ASM354489v1_genomic.fna,NZ_CP032125.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Profundibacter
180,GCF_000284315.1_ASM28431v1_genomic.fna,NC_017094.1,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Leptospirillum
220697,GCF_000300235.2_ASM30023v2_genomic.fna,NZ_CP004388.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Thalassospiraceae,Thalassospira
1803846,GCF_002886045.1_ASM288604v1_genomic.fna,NZ_CP025791.1,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavivirga
1813880,GCF_009707485.1_ASM970748v1_genomic.fna,NZ_CP046121.1,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Intrasporangiaceae,Tetrasphaera
1806508,GCF_900066015.1_Cfx-K_genomic.fna,NZ_LN890655.1,Bacteria,Chloroflexota,Ardenticatenia,Candidatus Promineifilales,Candidatus Promineifilaceae,Candidatus Promineifilum
1808979,GCF_009498235.1_ASM949823v1_genomic.fna,NZ_CP044205.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylococcaceae,Methylospira
2220096,GCF_003568845.1_ASM356884v1_genomic.fna,NZ_CP030126.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Azospirillaceae,Indioceanicola
1810504,GCF_001697225.1_ASM169722v1_genomic.fna,NZ_CP014671.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Immundisolibacterales,Immundisolibacteraceae,Immundisolibacter
1811807,GCF_003967195.1_ASM396719v1_genomic.fna,NZ_AP018725.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Chromatiales,Granulosicoccaceae,Sulfuriflexus
2233999,GCF_008843145.1_ASM884314v1_genomic.fna,NZ_CP030265.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Azospirillaceae,Skermanella
1813871,GCF_007971225.1_ASM797122v1_genomic.fna,NZ_CP042435.1,Bacteria,Bacteroidota,Chitinophagia,Chitinophagales,Chitinophagaceae,Panacibacter
181487,GCF_005886435.1_ASM588643v1_genomic.fna,NZ_CP040505.1,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Schaalia
182640,GCF_000024345.1_ASM2434v1_genomic.fna,NC_013729.1,Bacteria,Actinomycetota,Actinomycetes,Propionibacteriales,Kribbellaceae,Kribbella
181663,GCF_000018405.1_ASM1840v1_genomic.fna,NC_009943.1,Bacteria,Thermodesulfobacteriota,Desulfobacteria,Desulfobacterales,Desulfosudaceae,Desulfosudis
1817405,GCF_001989575.1_ASM198957v1_genomic.fna,NZ_CP019573.1,Bacteria,Bacillota,Bacilli,Bacillales,Abyssicoccaceae,
1821621,GCF_001651805.1_ASM165180v1_genomic.fna,NZ_CP015839.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Marinobacterium
1821960,GCF_000264765.2_ASM26476v2_genomic.fna,NZ_CP006664.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Hafniaceae,Edwardsiella
182210,GCF_000176915.2_ASM17691v2_genomic.fna,NC_014844.1,Bacteria,Thermodesulfobacteriota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,
182262,GCF_019670105.1_ASM1967010v1_genomic.fna,NZ_AP023032.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Agarivorans
1836,GCF_000062885.1_ASM6288v1_genomic.fna,NC_009142.1,Bacteria,Actinomycetota,Actinomycetes,Pseudonocardiales,Pseudonocardiaceae,Saccharopolyspora
223967,GCF_000019945.1_ASM1994v1_genomic.fna,NC_010725.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Methylobacteriaceae,Methylorubrum
182710,GCF_000011245.1_ASM1124v1_genomic.fna,NC_004193.1,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Oceanobacillus
1852,GCF_000023865.1_ASM2386v1_genomic.fna,NC_013159.1,Bacteria,Actinomycetota,Actinomycetes,Pseudonocardiales,Pseudonocardiaceae,Saccharomonospora
1836467,GCF_001913155.1_ASM191315v1_genomic.fna,NZ_CP018760.1,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Maribacter
1838286,GCF_001746835.1_ASM174683v1_genomic.fna,NZ_CP016094.1,Bacteria,Verrucomicrobiota,Opitutae,Opitutales,Opitutaceae,Lacunisphaera
1839801,GCF_001953175.1_ASM195317v1_genomic.fna,NZ_CP018258.1,Bacteria,Chloroflexota,Dehalococcoidia,Dehalogenimonas,,
184064,GCF_000212395.1_ASM21239v1_genomic.fna,NC_015499.1,Bacteria,Thermodesulfobiota,Thermodesulfobiia,Thermodesulfobiales,Thermodesulfobiaceae,Thermodesulfobium
2304600,GCF_003432385.1_ASM343238v1_genomic.fna,NZ_CP031841.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Breoghaniaceae,Breoghania
2305987,GCF_900537175.1_ASM90053717v1_genomic.fna,NZ_LS999833.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,Lentilitoribacter
184914,GCF_000255295.1_ASM25529v1_genomic.fna,NC_017030.1,Bacteria,Myxococcota,Myxococcia,Myxococcales,Cystobacterineae,Myxococcaceae
184917,GCF_000010665.1_ASM1066v1_genomic.fna,NC_012796.1,Bacteria,Thermodesulfobacteriota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Solidesulfovibrio
185007,GCF_008935055.1_ASM893505v1_genomic.fna,NZ_CP043030.1,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Pseudobutyrivibrio
2341112,GCF_003952725.1_ASM395272v1_genomic.fna,NZ_CP032509.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Georhizobium
1850246,GCF_001761325.1_ASM176132v1_genomic.fna,NZ_CP017478.1,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Urechidicola
1850252,GCF_001889045.1_ASM188904v1_genomic.fna,NZ_CP018155.1,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Tenacibaculum
1850254,GCF_001956695.1_ASM195669v1_genomic.fna,NZ_CP019070.1,Bacteria,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Arcobacteraceae,Poseidonibacter
1851148,GCF_001999965.1_ASM199996v1_genomic.fna,NZ_CP019646.1,Bacteria,Planctomycetota,Phycisphaerae,Sedimentisphaerales,Sedimentisphaeraceae,Limihaloglobus
1851514,GCF_003935895.2_ASM393589v2_genomic.fna,NZ_CP054058.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Scandinavium
1861,GCF_000025345.1_ASM2534v1_genomic.fna,NC_013757.1,Bacteria,Actinomycetota,Actinomycetes,Geodermatophilales,Geodermatophilaceae,Geodermatophilus
234827,GCF_000219355.1_ASM21935v1_genomic.fna,NC_015722.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Candidatus Midichloriaceae,Midichloria
1852373,GCF_900119705.1_PRJEB14245_genomic.fna,NZ_LT632322.1,Bacteria,Bacillota,Tissierellia,Tissierellales,Peptoniphilaceae,Murdochiella
1852374,GCF_900120165.1_PRJEB15652_genomic.fna,NZ_LT635475.1,Bacteria,Bacillota,Tissierellia,Ezakiella,,
244596,GCF_000154705.2_ASM15470v2_genomic.fna,NZ_CM002917.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,Hoeflea
185300,GCF_000183135.1_ASM18313v1_genomic.fna,NC_014734.1,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Paludibacteraceae,Paludibacter
245188,GCF_002158905.1_ASM215890v1_genomic.fna,NZ_CP021431.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Yoonia
1855912,GCF_001618865.1_ASM161886v1_genomic.fna,NZ_CP015136.1,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,Luteitalea
1859475,GCF_023704295.1_ASM2370429v1_genomic.fna,NZ_CP075561.1,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Floricoccus
186189,GCF_000024965.1_ASM2496v1_genomic.fna,NC_013530.1,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Promicromonosporaceae,Xylanimonas
1863,GCF_900187045.1_51485_B01_genomic.fna,NZ_LT906453.1,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Dermatophilaceae,Dermatophilus
186192,GCF_000195335.1_ASM19533v1_genomic.fna,NC_015387.1,Bacteria,Deinococcota,Deinococci,Thermales,Thermaceae,Marinithermus
2483033,GCF_004006175.1_ASM400617v1_genomic.fna,NZ_CP033219.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Parasedimentitalea
1866,GCF_000284295.1_ASM28429v1_genomic.fna,NC_017093.1,Bacteria,Actinomycetota,Actinomycetes,Micromonosporales,Micromonosporaceae,Actinoplanes
186490,GCF_000754265.1_ASM75426v1_genomic.fna,NZ_CP008985.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Baumannia,,
1871034,GCF_900155645.1_Propionibacterium_massiliense_genomic.fna,NZ_LT706985.1,Bacteria,Actinomycetota,Actinomycetes,Propionibacteriales,Propionibacteriaceae,Vaginimicrobium
2494374,GCF_003940805.1_ASM394080v1_genomic.fna,NZ_CP034328.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Tabrizicola
2500533,GCF_005234135.1_ASM523413v1_genomic.fna,NZ_CP039964.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Pseudorhodobacter
2528642,GCF_004323635.1_ASM432363v1_genomic.fna,NZ_CP036515.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Lichenihabitantaceae,Lichenihabitans
1884634,GCF_002287885.2_ASM228788v2_genomic.fna,NZ_CP016768.2,Bacteria,Actinomycetota,Actinomycetes,Candidatus Nanopelagicales,Candidatus Nanopelagicaceae,Nanopelagicus
187101,GCF_000973085.1_ASM97308v1_genomic.fna,NZ_CP011280.1,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Sneathia
1871025,GCF_900120375.1_PRJEB18029_genomic.fna,NZ_LT635480.1,Bacteria,Bacillota,Ndongobacter,,,
